ID_Bloque,Categoria_Principal,Subcategoria_Topico,Titulo_del_Bloque,Texto_del_Speech,Recomendacion_Interna,Paso_Actual,ID_Siguiente_Paso,Tags
TRX-001,⚙️ Solución,Transacciones,Respuesta de Escalado (24h hábiles),"¡Muchas gracias por los datos! Ya con esto he podido generar el reporte de tu caso. ✅<br>Será atendido por nuestro equipo especializado en un plazo estimado de 24 horas hábiles.<br>Apenas tengamos una actualización, te contactaré por este medio. Agradezco mucho tu paciencia. 💜",Este es el speech estándar cuando no puedes dar una solución inmediata y tienes que escalar el caso. Establece una expectativa de tiempo clara.,3,,"error, seguridad, solución de problemas, transaccion"
ATM-001,⚙️ Solución,ATM,Respuesta de Escalado (7-10 días hábiles),¡Gracias por la información! Acabo de gestionar tu caso y lo he escalado al área correspondiente. El plazo estimado para la revisión es de 7 a 10 días hábiles.<br>Estamos haciendo seguimiento directo y te contactaremos apenas tengamos una actualización. Gracias por tu comprensión. 🙏,Este es un plazo más largo y es importante ser honesto con el cliente. Usa este speech para los casos de ATM que requieren revisión física.,3,,"atm, cuenta, retiro, transaccion"
TEC-001,⚙️ Solución,App / Técnica,Instrucciones para Borrar Caché (Android),"Entiendo, parece un error de la app. Muchas veces esto se soluciona borrando el caché. ¡No te preocupes, no afectará tu saldo! Sigue estos pasos:<br>1. Ve a Ajustes > Aplicaciones > Yape Bolivia ⚙️<br>2. Pulsa en “Almacenamiento”<br>3. Pulsa en “Eliminar caché” ✅<br>Por favor, coméntame cómo te va después de hacerlo.",Este es el primer paso de troubleshooting para casi cualquier error visual o de rendimiento en la app.,2,,"app, error, solución de problemas, tecnico"
NOT-001,💡 Nota Interna,Contención,Cliente Insistente / Molesto,"(Para ti, Enrique): Si el cliente está muy molesto por la espera, puedes usar este speech:<br>""Entiendo perfectamente tu frustración y lamento los inconvenientes. Te aseguro que tu caso está siendo tratado con urgencia y estoy personalmente haciendo seguimiento para agilizarlo. Agradezco tu paciencia. 🙏""",Usa esta nota para manejar situaciones de alta tensión. La clave es empatizar y reafirmar que estás de su lado.,,,"nota interna, phishing, seguridad"
CIE-001,🏁 Cierre,General,Cierre con Encuesta,"¡Me alegra haberte ayudado! 😊 Fue un gusto atenderte.<br>Antes de irte, por favor dedica un momento para calificar mi atención. Te llegará una pequeña encuesta al cerrar esta conversación.<brTu opinión es muy valiosa para nosotros. ¡Gracias! 💜","Este es el cierre estándar. Siempre que el caso se haya resuelto, intenta que el cliente llene la encuesta.",4,,cierre
CIE-002,🏁 Cierre,General,Cierre por Inactividad del Cliente,"Han pasado varios minutos sin respuesta 😔, por lo que el sistema cerrará esta conversación.<brCuando quieras retomar, solo escribe “Hola” y otro asesor o yo estaremos aquí para ayudarte.<br¡Gracias por comunicarte con Yape!",Usa este speech cuando el cliente deja de responder. Es importante informarle que la conversación se cerrará.,,,"cierre, encuesta"
ESC-001,💡 Nota Interna,Escalado / Fuera de Alcance,Derivación a Canales BCP (Fuera de Alcance),"Entiendo. Como tu consulta está relacionada directamente con un producto del Banco BCP (Cuentas, Tarjetas, Banca Móvil) y no con la app Yape, no tengo acceso para ayudarte desde aquí. 😔 <br> Sin embargo, te doy los números correctos para que te atiendan de inmediato: <br> 📞 La Paz, Sucre, Potosí, Tarija, Beni y Oruro: 2114141 <br> 📞 Santa Cruz: 3114141 <br> 📞 Cochabamba: 4114141 <br> Puedes escribir por WhatsApp a los mismos números añadiendo +591.",Esta es tu salida estándar cuando el problema no es de Yape. Es crucial derivar correctamente para no frustrar al cliente.,,,"escalamiento, supervisor"
PED-005,📝 Pedir Datos,Baja de Cuenta,Datos para Baja por Cliente Fallecido,"Lamento profundamente la situación. Para poder ayudarte con la solicitud de cierre y traspaso de fondos, necesitamos que nos envíes por este medio los siguientes documentos: <br> - Carta de solicitud de cierre de cuentas. <br> - Certificado de defunción del cliente. <br> - CI del cliente fallecido. <br> - CI del heredero. <br> - Testimonio de Declaratoria de Herederos. <br> Quedo atento para proceder de inmediato. Mi más sentido pésame.",Este es un caso muy sensible. Usa un tono de máximo respeto y empatía. La lista de documentos es legal y no se puede omitir ningún punto.,,,"datos, pedir datos, transaccion, validación"
NEG-001,⚙️ Solución,Negocios,Requisitos para ser Agente BCP,"¡Qué buena iniciativa! Si deseas que tu negocio sea un Agente BCP, te pido por favor enviar los siguientes requisitos a los canales correspondientes: <br> - Fotocopia de CI vigente <br> - Licencia de funcionamiento y NIT <br> - Papeles del inmueble donde funciona el negocio. <br> - Antecedentes Policiales y Judiciales. <br> (La lista completa está en los documentos del banco).","Este es un proceso de negocio, no de soporte. La idea es guiar al cliente sobre los requisitos principales y dirigirlo al área comercial.",,,"negativo, normativa"
SYS-001,💡 Nota Interna,Contingencias,Comunicado por Caída del Sistema,"En este momento estamos presentando intermitencia con nuestra app. <br> Te pido intentar el proceso en unos minutos. <br> No te preocupes, nuestro equipo técnico ya está trabajando para solucionarlo lo antes posible. 🙏💜",Usa este speech cuando hay una caída general del servicio. Es importante comunicar que ya se está trabajando en ello para reducir la ansiedad del cliente.,,,"aviso proactivo, error, sistema, tecnico"
ACC-001,⚙️ Solución,Gestión de Cuenta,Problema de Número Reciclado (Yape Preexistente),"Entiendo tu preocupación. A veces, las empresas telefónicas reciclan números que estuvieron inactivos. Parece que el número que intentas registrar ya tiene otro titular por este proceso. <br> Lamentablemente, por seguridad no podemos cambiar la titularidad. Te aconsejamos crear una cuenta con un número de teléfono diferente. Lamento los inconvenientes.","Este es un caso frustrante para el cliente. Explica el ""porqué"" (números reciclados) para que entienda que no es un error de Yape, sino una política de las telefónicas.",,,"acceso, bloqueo, clave, cuenta, error"
INF-001,⚙️ Solución,Información General,Consulta sobre Límites Transaccionales,"¡Claro que sí! Los límites actuales en Yape son: <br> - Para Yapear (QR, transferencias): Máx. Bs 10,000 por operación. <br> - Para Recarga de crédito: Máx. Bs 1,000 por operación. <br> El límite diario total, sumando todo, es de Bs 20,000. <br> Puedes modificarlos desde la app en el menú “Más” → “Montos y límites”. 😉",Esta es una consulta puramente informativa. Tener los datos a mano te hace ver muy eficiente.,,,"duda, informacion, limite, transaccion"
QUE-001,📝 Pedir Datos,Quejas,Datos para Queja sobre Agente BCP o Negocio,"Lamento que hayas tenido una mala experiencia y estoy aquí para registrar tu queja formalmente. Para ello, necesito que por favor me dejes estos datos: <br> - Tu nombre completo, CI y número de contacto. <br> - Datos que tengas del negocio o persona denunciada (nombre, dirección). <br> - El motivo detallado de la queja y cualquier evidencia que tengas (comprobantes, fotos).","Al recibir una queja, es importante adoptar un tono formal y de seriedad. Asegúrale al cliente que su reclamo será registrado y escalado.",,,"queja, reclamo"
BLO-003,⚙️ Solución,Bloqueos,Bloqueo por Políticas de Cumplimiento (Sin Saldo),"Hola, XXX. Lamentamos informarte que, debido a políticas internas del banco, no es posible que puedas disponer de una cuenta Yape.<br>Esperamos puedas entendernos, pues son reglas que debemos acatar como billetera móvil. 💜","Este es un mensaje delicado. Se usa cuando el área de Cumplimiento observa una cuenta al 100%. No se puede dar más detalle. Si tiene saldo, usa el bloque BLO-004.",,,"bloqueo, proactivo, seguridad"
BLO-004,⚙️ Solución,Bloqueos,Bloqueo por Cumplimiento (CON Saldo),"Hola, XXX. Lamentamos informarte que, debido a políticas internas del banco, no es posible que dispongas de una cuenta Yape.<br>Para poder traspasar tu saldo a la cuenta de un tercero (Yape o BCP), por favor compártenos tus datos personales y los datos completos de la persona que recibirá el traspaso.",Caso crítico. La prioridad es asegurar que el cliente recupere su dinero de forma segura antes de cerrar la cuenta definitivamente.,,,"acceso, bloqueo, clave"
TEC-002,⚙️ Solución,App / Técnica,Error por Duplicidad de Aplicación,"Hola, XXX. Hemos detectado un posible problema de seguridad. Por favor, verifica si en tu dispositivo tienes activada alguna función para duplicar aplicaciones (ej. ""Dual Messenger"", ""App Gemela"").<br>Si es así, por la seguridad de tu cuenta, te pedimos desactivar esa opción o ingresar a tu cuenta Yape desde un dispositivo que no la tenga.",Esta es una comprobación de seguridad importante. Las apps duplicadas pueden interferir con el funcionamiento y la seguridad de Yape.,,,"app, error, red, tecnico"
ONB-001,⚙️ Solución,Onboarding,Problema con Apellido de Casada,"¡Hola! Veo que la app te pregunta por tu apellido de casada. No te preocupes, es un paso de validación.<br>- Si usas tu apellido de casada, selecciona ""Sí"" e ingresa solo el primer apellido de tu esposo.<br>- Si no lo usas, simplemente marca ""No"" y podrás continuar sin problemas. 👍",Un caso específico de onboarding que puede confundir a un segmento de usuarias. Tener la respuesta clara y lista es muy útil.,,,"ayuda, onboarding, registro"
TRX-003,⚙️ Solución,Transacciones,Error por Campos Obligatorios (Origen/Destino),"¡Hola, XXX! Ese mensaje aparece por una nueva regulación. Para completar el pago, necesitas describir brevemente el origen y destino de los fondos. Cada campo debe tener al menos 16 caracteres.<br>Por ejemplo:<br>➡️ Origen de fondos: ""Ahorros personales para compras""<br>➡️ Destino de fondos: ""Pago de materiales de estudio""","Esta es una nueva funcionalidad que seguramente generará muchas consultas. Es clave explicar el ""porqué"" (regulación) y dar un ejemplo claro.",,,"error, extorno, solución de problemas, transaccion"
ESC-002,💡 Nota Interna,Escalado / Fuera de Alcance,Derivación a Yape Perú,"Hola, XXX. ¡Gracias por contactarnos! Te comento que esta línea de atención es exclusivamente para Yape Bolivia.<br>Para que puedan ayudarte con tu cuenta de Yape Perú, por favor contacta a su canal oficial de WhatsApp en el número: +51 939 339 299.<br>¡Espero que puedan solucionar tu caso pronto! 🇵🇪",Un caso de borde importante para no perder tiempo con clientes que no corresponden a tu mercado. Dirigirlos al canal correcto es la mejor ayuda que puedes dar.,,,"escalamiento, fraude, legal, seguridad"
LEG-001,⚙️ Solución,Legal,Consulta sobre Derechos de Imagen,"Hola, XXX. Gracias por tu consulta. Te comento que la foto que mencionas fue descargada del banco de imágenes Shutterstock, el cual es de uso público a través del pago de una suscripción que hemos adquirido, por lo que su uso está licenciado.",Caso muy improbable pero de alta importancia legal/PR. Tener esta respuesta estandarizada es crucial para proteger a la marca.,,,"duda, informacion, legal, normativa"
NOT-002,💡 Nota Interna,Conceptos Internos,"Explicación: ¿Qué es ""Regularización DIF""?","(Este texto es para tu conocimiento interno)<br>La ""Regularización DIF"" es un ajuste de saldo (crédito o débito) que realizamos en una cuenta Yape para corregir un error transaccional anterior. Ocurre en casos como:<br>- Un pago que se le devolvió al emisor pero que sí llegó al destino (doble abono).<br>- Un pago de servicio que fue exitoso pero que no se descontó del saldo.<br>- Un débito duplicado que se revierte.","Nunca compartas esta explicación técnica con el cliente. Tu trabajo es usar los speeches específicos de ""Ajuste de Saldo"" que explican el caso puntual del cliente de forma sencilla.",,,"contención, nota interna"
TEC-003,⚙️ Solución,App / Técnica,Error de App por Zoom de Pantalla,"¡Hola, XXX! Entiendo, parece que la aplicación no se ve completa en tu pantalla. Esto suele pasar si el tamaño de la letra o el zoom del celular es muy grande. ¡Vamos a ajustarlo!<br>Si usas Android:<br>Ve a Ajustes ⚙️ > Pantalla > Tamaño de fuente y ajústalo a un tamaño menor.<br>Si usas iPhone:<br>Ve a Ajustes ⚙️ > Pantalla y brillo > Zoom de pantalla y selecciona ""Estándar"".<br>El celular podría reiniciarse brevemente. ¡Con eso debería solucionarse! 👍","Este es un caso técnico raro pero muy útil. Guía al cliente paso a paso, ya que no es un problema de la app en sí, sino de la configuración de su dispositivo.",,,"app, solución de problemas, tecnico"
TEC-004,⚙️ Solución,App / Técnica,Error en Tienda de Apps (Play Store/App Store),"Comprendo, el problema te aparece al intentar descargar o actualizar desde la tienda de aplicaciones. Ese error no es directamente de Yape, pero puedo darte unas sugerencias:<br>1. Asegúrate de tener una buena conexión a internet (WiFi o datos). 📶<br>2. Intenta reiniciar tu dispositivo.<br>3. Borra el caché de la tienda de aplicaciones (Google Play o App Store) desde los ajustes de tu celular.","Es importante aclarar que el problema es externo a Yape, pero que igualmente le ofreces ayuda. Esto mantiene una buena experiencia de cliente.",,,"app, solución de problemas, tecnico"
PED-006,📝 Pedir Datos,Extractos,Verificación de Identidad para Enviar Extracto,"¡Claro que sí! Por la seguridad de tu información, antes de enviarte el extracto necesito hacerte una pregunta de validación. Por favor, respóndeme solo una de las siguientes:<br>- ¿Cuál es el saldo aproximado de tu cuenta? 💰<br>- ¿Con qué correo electrónico te registraste? 📧<br>- ¿En qué año creaste tu cuenta Yape? 🗓️","Haz las preguntas en este orden. Si el cliente no responde correctamente a ninguna, como último recurso puedes preguntar por la fecha y monto de su última transacción. Nunca envíes información sensible sin validar.",2,,"datos, error, pedir datos, tecnico"
INF-002,⚙️ Solución,Extractos,Cómo Descargar Extracto desde la App,"¡Hola, XXX! Puedes descargar tus extractos de los últimos 3 meses directamente desde la app. Es muy fácil:<br>1. Ingresa a Yape y selecciona ""Movimientos"".<br>2. Toca el nombre del mes (ej: Julio) para elegir el que necesitas.<br>3. Pulsa el ícono de descargar 📥 que está arriba.<br>Lo encontrarás así:<br>- En Android: En tu carpeta de ""Descargas"" o ""Downloads"".<br>- En iPhone: En la app ""Archivos"", en la sección ""Descargas"".",Aclarar la diferencia entre Android y iOS es clave para evitar una segunda pregunta del cliente. Es un speech muy útil para fomentar el auto-servicio.,,,"duda, informacion, promociones"
COM-001,⚙️ Solución,Gestión de Cuenta,Aviso por Inactividad de Cuenta,"¡Hola, XXX! Te contactamos de Yape para informarte que tu cuenta lleva un tiempo sin uso.<br>Según la normativa vigente, debemos notificarte. Te recomendamos ingresar a la app y realizar cualquier transacción (un pago, una recarga) para mantenerla activa y evitar futuras suspensiones.<br>¡Queremos que sigas disfrutando de Yape! 💜",Este es un speech de comunicación proactiva. Se debe usar cuando el sistema alerta sobre cuentas inactivas para cumplir con la regulación.,,,"aviso proactivo, cuenta, normativa"
GEN-001,💡 Nota Interna,General,Caso no Encontrado / Escalado Manual (Safety Net),"(Este texto es para tu conocimiento interno)<br>Entiendo, es un caso bastante particular. Permíteme un momento mientras lo reviso con un especialista para darte la información correcta y no cometer errores. Agradezco tu paciencia.","Este es tu ""speech de seguridad"". Úsalo cuando te enfrentes a un problema completamente nuevo que no está en la base de datos. Te da tiempo para pensar y consultar.",,,"contención, escalamiento, general, nota interna"
